seed,no_bound_succ,no_bound_best,clamp_succ,clamp_best,sigmoid_k1.0_succ,sigmoid_k1.0_best,sigmoid_k0.1_succ,sigmoid_k0.1_best,sigmoid_k0.5_succ,sigmoid_k0.5_best,sigmoid_k2.0_succ,sigmoid_k2.0_best,sigmoid_k5.0_succ,sigmoid_k5.0_best,sigmoid_k10.0_succ,sigmoid_k10.0_best,sigmoid_k20.0_succ,sigmoid_k20.0_best,sigmoid_k50.0_succ,sigmoid_k50.0_best,sigmoid_k100.0_succ,sigmoid_k100.0_best
0,50,12,50,13,48,12,50,12,50,13,47,12,47,12,49,12,48,13,50,12,46,12
1,50,12,47,13,47,13,47,11,47,13,46,13,49,13,49,13,46,13,47,13,46,13
2,50,12,49,13,49,12,50,12,50,12,50,13,49,13,49,12,49,12,50,14,49,14
3,49,12,49,13,48,13,49,12,48,12,47,13,49,12,48,13,49,12,48,13,48,13
4,50,12,50,12,49,12,50,11,49,12,50,13,48,12,50,12,50,12,48,13,49,13
5,50,13,48,13,50,12,49,12,48,12,49,12,48,13,47,13,50,13,49,12,48,13
6,50,13,50,13,50,14,50,12,49,12,50,13,50,13,50,13,48,13,50,13,50,13
7,50,13,50,13,49,12,49,12,50,12,49,12,48,12,48,13,48,12,49,12,48,13
8,50,12,47,12,48,12,43,12,48,13,47,13,47,12,47,13,49,13,47,13,47,12
9,50,12,49,12,50,12,49,11,49,12,46,12,48,12,50,13,48,12,48,12,47,12
10,50,12,46,12,47,13,47,12,40,13,47,12,46,12,45,12,47,12,46,13,45,13
11,50,13,50,13,50,14,50,13,50,13,48,13,50,13,50,13,50,13,49,13,49,13
12,50,13,48,13,48,13,50,12,50,12,48,13,48,12,49,13,48,12,49,12,49,13
13,50,12,49,14,46,14,49,12,49,14,49,14,50,12,47,14,49,13,49,12,49,14
14,50,13,50,13,50,13,50,13,50,13,49,13,50,13,50,13,50,13,49,13,49,13
15,50,13,49,12,47,13,49,12,50,13,46,12,46,13,49,12,49,13,49,12,48,13
16,50,12,48,12,48,13,49,11,47,12,49,13,49,13,48,13,50,12,49,13,50,13
17,49,13,49,12,49,12,48,12,50,12,46,12,48,13,49,12,50,13,49,12,49,13
18,49,12,44,12,47,12,46,12,46,12,48,12,46,12,46,13,48,12,46,12,48,13
19,50,12,47,12,49,12,49,13,49,12,46,12,48,12,48,13,48,12,50,12,46,12
20,50,13,48,12,49,13,48,12,47,12,48,13,48,13,48,13,48,12,47,12,48,13
21,50,13,46,13,49,14,49,12,48,13,48,13,50,13,46,13,50,13,48,13,50,12
22,49,14,48,13,45,13,49,12,48,13,49,14,48,13,46,13,49,13,48,13,49,13
23,50,12,49,14,45,13,49,12,48,12,46,14,47,13,49,13,48,13,48,12,46,12
24,50,12,50,13,48,12,49,12,47,12,50,12,47,12,49,13,50,12,48,12,50,12
25,50,13,49,13,48,13,48,12,47,12,48,13,49,12,48,13,48,13,47,12,48,13
26,50,13,43,13,49,12,48,12,49,12,47,12,50,12,47,12,48,12,47,12,49,12
27,50,13,47,14,48,13,50,13,44,13,49,14,49,13,48,13,50,13,46,13,48,13
28,50,12,48,13,44,13,50,12,49,12,47,12,46,13,44,13,46,13,48,13,48,13
29,50,13,47,12,49,12,47,12,46,12,48,12,48,12,47,12,50,12,50,14,50,12
30,50,13,49,13,49,12,48,12,44,13,47,12,45,13,47,12,42,12,49,12,45,12
31,50,13,49,13,48,13,48,12,50,12,48,13,49,12,47,12,50,13,48,13,49,13
32,50,12,48,13,49,13,49,12,49,13,49,12,48,13,49,13,50,13,48,13,50,14
33,50,13,48,13,45,13,48,12,40,12,49,13,48,13,47,13,48,12,46,13,48,12
34,50,13,48,13,44,13,49,12,48,13,47,12,48,12,49,13,47,12,46,12,50,13
35,50,14,48,12,47,13,49,12,49,12,46,13,48,13,49,12,47,12,49,12,49,12
36,49,13,48,13,48,13,49,13,47,13,47,13,47,13,48,13,48,13,49,13,47,13
37,50,13,49,13,46,13,47,12,44,13,48,12,49,13,49,13,48,13,47,13,43,13
38,50,12,49,13,50,12,50,12,50,12,48,12,49,12,49,13,47,12,50,13,50,12
39,50,13,47,13,45,12,45,11,45,13,46,13,46,13,47,13,48,13,47,13,45,12
40,50,12,48,13,44,13,50,13,48,13,44,13,49,13,49,13,46,13,48,13,46,13
41,50,12,48,13,49,12,50,13,49,12,48,13,50,12,48,12,50,12,48,12,49,13
42,50,13,48,13,49,13,50,13,49,13,48,13,48,13,49,13,50,13,50,13,50,13
43,50,12,48,13,47,12,50,12,50,13,49,13,49,12,48,12,49,14,48,13,47,13
44,50,12,49,13,49,13,50,12,49,12,49,13,48,12,47,13,48,13,49,12,48,12
45,49,12,49,13,47,12,49,12,49,13,47,12,49,13,50,13,49,13,48,13,47,13
46,50,12,49,14,50,13,50,12,50,13,50,13,49,13,50,13,50,13,50,13,50,13
47,50,12,49,13,49,13,50,13,50,12,50,12,49,13,49,13,50,14,49,13,49,12
48,50,12,50,13,49,13,50,12,49,12,50,12,49,12,49,13,50,12,49,13,50,12
49,50,12,49,13,50,12,44,12,44,12,49,12,50,13,50,13,47,13,48,12,49,12
